Sexo;Titulación;Sueldo mensual neto en 2019;Total
Ambos sexos;Biomedicina;De 1.000 a 1.499 euros;40,2
Ambos sexos;Biomedicina;De 1.500 a 1.999 euros;23,6
Ambos sexos;Biomedicina;De 2.000 a 2.499 euros;11,5
Ambos sexos;Biomedicina;De 2.500 a 2.999 euros;6,2
Ambos sexos;Biomedicina;De 3.000 euros en adelante;11,4
Ambos sexos;Ciencias ambientales;Menos de 700 euros;10,5
Ambos sexos;Ciencias ambientales;De 700 a 999 euros;14,1
Ambos sexos;Ciencias ambientales;De 1.000 a 1.499 euros;43,2
Ambos sexos;Ciencias ambientales;De 1.500 a 1.999 euros;22,3
Ambos sexos;Ciencias ambientales;De 2.000 a 2.499 euros;6,3
Ambos sexos;Ciencias ambientales;De 2.500 a 2.999 euros;1,1
Ambos sexos;Ciencias ambientales;De 3.000 euros en adelante;2,5
Ambos sexos;Química;Menos de 700 euros;4,8
Ambos sexos;Química;De 700 a 999 euros;8,0
Ambos sexos;Química;De 1.000 a 1.499 euros;45,3
Ambos sexos;Química;De 1.500 a 1.999 euros;28,0
Ambos sexos;Química;De 2.000 a 2.499 euros;9,9
Ambos sexos;Química;De 2.500 a 2.999 euros;2,1
Ambos sexos;Química;De 3.000 euros en adelante;1,8
Ambos sexos;Ciencias del mar;Menos de 700 euros;11,3
Ambos sexos;Ciencias del mar;De 700 a 999 euros;13,9
Ambos sexos;Ciencias del mar;De 1.000 a 1.499 euros;52,2
Ambos sexos;Ciencias del mar;De 1.500 a 1.999 euros;12,4
Ambos sexos;Ciencias del mar;De 2.000 a 2.499 euros;5,7
Ambos sexos;Ciencias del mar;De 2.500 a 2.999 euros;1,9
Ambos sexos;Ciencias del mar;De 3.000 euros en adelante;2,7
Ambos sexos;Geografía y ordenación del territorio;Menos de 700 euros;8,7
Ambos sexos;Geografía y ordenación del territorio;De 700 a 999 euros;18,1
Ambos sexos;Geografía y ordenación del territorio;De 1.000 a 1.499 euros;47,6
Ambos sexos;Geografía y ordenación del territorio;De 1.500 a 1.999 euros;18,6
Ambos sexos;Geografía y ordenación del territorio;De 2.000 a 2.499 euros;3,9
Ambos sexos;Geografía y ordenación del territorio;De 2.500 a 2.999 euros;0,5
Ambos sexos;Geografía y ordenación del territorio;De 3.000 euros en adelante;2,7
Ambos sexos;Geología;Menos de 700 euros;13,5
Ambos sexos;Geología;De 700 a 999 euros;15,4
Ambos sexos;Geología;De 1.000 a 1.499 euros;37,5
Ambos sexos;Geología;De 1.500 a 1.999 euros;18,3
Ambos sexos;Geología;De 2.000 a 2.499 euros;4,1
Ambos sexos;Geología;De 2.500 a 2.999 euros;4,5
Ambos sexos;Geología;De 3.000 euros en adelante;6,7
Ambos sexos;Física;Menos de 700 euros;1,6
Ambos sexos;Física;De 700 a 999 euros;9,6
Ambos sexos;Física;De 1.000 a 1.499 euros;32,3
Ambos sexos;Física;De 1.500 a 1.999 euros;31,2
Ambos sexos;Física;De 2.000 a 2.499 euros;12,5
Ambos sexos;Física;De 2.500 a 2.999 euros;2,7
Ambos sexos;Física;De 3.000 euros en adelante;10,1
Ambos sexos;Matemáticas;Menos de 700 euros;3,3
Ambos sexos;Matemáticas;De 700 a 999 euros;3,5
Ambos sexos;Matemáticas;De 1.000 a 1.499 euros;22,8
Ambos sexos;Matemáticas;De 1.500 a 1.999 euros;39,2
Ambos sexos;Matemáticas;De 2.000 a 2.499 euros;18,8
Ambos sexos;Matemáticas;De 2.500 a 2.999 euros;4,2
Ambos sexos;Matemáticas;De 3.000 euros en adelante;8,2
Ambos sexos;Estadística;Menos de 700 euros;4,6
Ambos sexos;Estadística;De 700 a 999 euros;4,0
Ambos sexos;Estadística;De 1.000 a 1.499 euros;26,7
Ambos sexos;Estadística;De 1.500 a 1.999 euros;43,6
Ambos sexos;Estadística;De 2.000 a 2.499 euros;13,1
Ambos sexos;Estadística;De 2.500 a 2.999 euros;4,8
Ambos sexos;Estadística;De 3.000 euros en adelante;3,3
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;Menos de 700 euros;0,0
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;De 700 a 999 euros;7,3
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;De 1.000 a 1.499 euros;15,1
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;De 1.500 a 1.999 euros;26,6
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;De 2.000 a 2.499 euros;31,9
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;De 2.500 a 2.999 euros;15,5
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;De 3.000 euros en adelante;3,6
Ambos sexos;Informática;Menos de 700 euros;1,1
Ambos sexos;Informática;De 700 a 999 euros;1,9
Ambos sexos;Informática;De 1.000 a 1.499 euros;17,3
Ambos sexos;Informática;De 1.500 a 1.999 euros;34,9
Ambos sexos;Informática;De 2.000 a 2.499 euros;22,1
Ambos sexos;Informática;De 2.500 a 2.999 euros;10,8
Ambos sexos;Informática;De 3.000 euros en adelante;12,0
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;Menos de 700 euros;2,6
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;De 700 a 999 euros;3,0
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;De 1.000 a 1.499 euros;29,7
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;De 1.500 a 1.999 euros;41,2
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;De 2.000 a 2.499 euros;16,1
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;De 2.500 a 2.999 euros;2,5
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;De 3.000 euros en adelante;4,9
