Sexo;Titulación;Nivel de formación más apropiado para realizar su trabajo;Total
Ambos sexos;Química;Título universitario (excepto doctorado o máster);35,6
Ambos sexos;Química;Formación profesional de grado superior;15,0
Ambos sexos;Química;Formación profesional de grado medio / bachillerato;5,7
Ambos sexos;Química;Formación profesional básica;0,3
Ambos sexos;Química;ESO, EGB, etc ...;1,7
Ambos sexos;Ciencias del mar;Doctorado;10,6
Ambos sexos;Ciencias del mar;Máster;19,6
Ambos sexos;Ciencias del mar;Título universitario (excepto doctorado o máster);32,9
Ambos sexos;Ciencias del mar;Formación profesional de grado superior;23,6
Ambos sexos;Ciencias del mar;Formación profesional de grado medio / bachillerato;3,8
Ambos sexos;Ciencias del mar;Formación profesional básica;3,9
Ambos sexos;Ciencias del mar;ESO, EGB, etc ...;5,6
Ambos sexos;Geografía y ordenación del territorio;Doctorado;1,7
Ambos sexos;Geografía y ordenación del territorio;Máster;33,0
Ambos sexos;Geografía y ordenación del territorio;Título universitario (excepto doctorado o máster);29,5
Ambos sexos;Geografía y ordenación del territorio;Formación profesional de grado superior;16,0
Ambos sexos;Geografía y ordenación del territorio;Formación profesional de grado medio / bachillerato;8,1
Ambos sexos;Geografía y ordenación del territorio;Formación profesional básica;5,4
Ambos sexos;Geografía y ordenación del territorio;ESO, EGB, etc ...;6,3
Ambos sexos;Geología;Doctorado;0,6
Ambos sexos;Geología;Máster;32,7
Ambos sexos;Geología;Título universitario (excepto doctorado o máster);37,6
Ambos sexos;Geología;Formación profesional de grado superior;12,4
Ambos sexos;Geología;Formación profesional de grado medio / bachillerato;4,0
Ambos sexos;Geología;Formación profesional básica;5,8
Ambos sexos;Geología;ESO, EGB, etc ...;6,9
Ambos sexos;Física;Doctorado;18,6
Ambos sexos;Física;Máster;48,4
Ambos sexos;Física;Título universitario (excepto doctorado o máster);24,5
Ambos sexos;Física;Formación profesional de grado superior;6,0
Ambos sexos;Física;Formación profesional de grado medio / bachillerato;0,9
Ambos sexos;Física;Formación profesional básica;0,0
Ambos sexos;Física;ESO, EGB, etc ...;1,6
Ambos sexos;Matemáticas;Doctorado;10,2
Ambos sexos;Matemáticas;Máster;40,7
Ambos sexos;Matemáticas;Título universitario (excepto doctorado o máster);38,9
Ambos sexos;Matemáticas;Formación profesional de grado superior;6,3
Ambos sexos;Matemáticas;Formación profesional de grado medio / bachillerato;1,3
Ambos sexos;Matemáticas;Formación profesional básica;1,9
Ambos sexos;Matemáticas;ESO, EGB, etc ...;0,7
Ambos sexos;Estadística;Doctorado;2,6
Ambos sexos;Estadística;Máster;22,8
Ambos sexos;Estadística;Título universitario (excepto doctorado o máster);47,0
Ambos sexos;Estadística;Formación profesional de grado superior;16,5
Ambos sexos;Estadística;Formación profesional de grado medio / bachillerato;5,1
Ambos sexos;Estadística;Formación profesional básica;0,0
Ambos sexos;Estadística;ESO, EGB, etc ...;6,0
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;Doctorado;1,6
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;Máster;16,1
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;Título universitario (excepto doctorado o máster);72,4
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;Formación profesional de grado superior;6,7
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;Formación profesional de grado medio / bachillerato;3,3
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;Formación profesional básica;0,0
Ambos sexos;Desarrollo de software y de aplicaciones e Ingeniería multimedia;ESO, EGB, etc ...;0,0
Ambos sexos;Informática;Doctorado;1,2
Ambos sexos;Informática;Máster;13,9
Ambos sexos;Informática;Título universitario (excepto doctorado o máster);68,7
Ambos sexos;Informática;Formación profesional de grado superior;12,1
Ambos sexos;Informática;Formación profesional de grado medio / bachillerato;2,0
Ambos sexos;Informática;Formación profesional básica;0,9
Ambos sexos;Informática;ESO, EGB, etc ...;1,2
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;Doctorado;4,2
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;Máster;23,7
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;Título universitario (excepto doctorado o máster);57,7
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;Formación profesional de grado superior;9,0
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;Formación profesional de grado medio / bachillerato;2,8
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;Formación profesional básica;1,0
Ambos sexos;Ingeniería química industrial e Ingeniería medioambiental;ESO, EGB, etc ...;1,6
Ambos sexos;Ingeniería de la energía;Doctorado;6,2
Ambos sexos;Ingeniería de la energía;Máster;29,7
Ambos sexos;Ingeniería de la energía;Título universitario (excepto doctorado o máster);59,1
Ambos sexos;Ingeniería de la energía;Formación profesional de grado superior;1,7
Ambos sexos;Ingeniería de la energía;Formación profesional de grado medio / bachillerato;1,7
Ambos sexos;Ingeniería de la energía;Formación profesional básica;0,0
